Name 1,Name 2,Name 3,Name 4,Name 5,suggestion 1,suggestion 2,suggestion 3,suggestion 4,suggestion 5
L-Lactic acid,L-Lactate,2-hydroxypropanoic acid,Lactic Acid,L-(+)-lactic acid,Acetic acid <bmse000191>,(R)-Lactate <bmse000269>,2-Hydroxyisocaproic acid <bmse000338>,Acetic acid <bmse000191>,L-(+) Lactic acid <bmse000208>
D-Glucose,Glucose,"(3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",alpha-D-Glucopyranose,alpha-D-Glucose,D-Glucosaminic acid <bmse000440>,Sucrose <bmse000119>,"2-(3,4-Dihydroxyphenyl)chroman-3,5,7-triol <bmse001147>",DL-alpha-Glycerol phosphate <bmse000193>,Alpha-Ketoglutaric acid <bmse000064>
Uric acid,"7,9-dihydro-3H-purine-2,6,8-trione","1H-Purine-2,6,8(3H)-trione, 7,9-dihydro-","1H-Purine-2,6,8-triol","2,6,8-Trioxypurine",Butyric acid <bmse000402>,Dihydrocoumarin <bmse000412>,Purine <bmse000454>,Purine <bmse000454>,"2,4,6-Trichlorophenol <bmse000678>"
3-hydroxybutyric acid,beta-Hydroxy-n-butyric acid,"Butanoic acid, 3-hydroxy-","Butyric acid, 3-hydroxy- (8CI)",3 HBA,3-Hydroxybenzoic acid <bmse000324>,(R)-2-hydroxybutyric acid <bmse000361>,Hexanoic acid <bmse000351>,Butyric acid <bmse000402>,Thiram <bmse000928>
B-Carotene,Beta-carotene,"(all-E)-1,1'-(3,7,12,16-Tetramethyl-1,3,5, 7,9,11,13,15,17-octadecanonaene-1,18-diyl)bis[2,6, 6-trimethylcyclohexene]",b-Carotene,"1,3,3-trimethyl-2-[(1~{E},3~{E},5~{E},7~{E},9~{E},11~{E},13~{E},15~{E},17~{E})-3,7,12,16-tetramethyl-18-(2,6,6-trimethylcyclohexen-1-yl)octadeca-1,3,5,7,9,11,13,15,17-nonaenyl]cyclohexene",L-Cysteine <bmse000034>,Beta-Alanine <bmse000159>,2-[2-[2-[2-(Bis(carboxymethyl)amino)ethoxy]ethoxy]ethyl-(carboxymethyl)amino]acetic acid <bmse001200>,L-Cysteine <bmse000034>,Trimethylamine <bmse000224>
L-Carnitine,(3~{R})-3-hydroxy-4-(trimethylazaniumyl)butanoatel,(R)-(3-Carboxy-2-hydroxypropyl)trimethylammonium hydroxide,gamma-Trimethyl-beta-hydroxybutyrobetaine,Vitamin BT,D-Carnitine <bmse000074>,(R)-2-hydroxybutyric acid <bmse000361>,3-Carboxypropyl-trimethyl-ammonium <bmse000794>,Agmatine <bmse000063>,Thiamin <bmse000274>
alpha-Tocopherol,"(2R,4'R,8'R)-Alpha-tocopherol","Tocopherol (R,S)",Prestwick_653,Tocopherol,4-Chlorophenol <bmse000461>,"2,4,6-Trichlorophenol <bmse000678>",Pyrocatechol <bmse000385>,MES <bmse000787>,O-Cresol <bmse000433>
Pipecolic acid,H-DL-Pip-OH,DL-homoproline,piperidine-2-carboxylic acid,Pipecolinic acid,Itaconic acid <bmse000137>,Pyridoxal-5-phosphate <bmse000111>,L-Proline <bmse000047>,2-Thiophenecarboxylic acid <bmse000848>,Nicotinic acid <bmse000104>
Lycopene,"(6~{E},8~{E},10~{E},12~{E},14~{E},16~{E},18~{E},20~{E},22~{E},24~{E},26~{E})-2,6,10,14,19,23,27,31-octamethyldotriaconta-2,6,8,10,12,14,16,18,20,22,24,26,30-tridecaene","InChI=1S/C40H56/c1-33(2)19-13-23-37(7)27-17-31-39(9)29-15-25-35(5)21-11-12-22-36(6)26-16-30-40(10)32-18-28-38(8)24-14-20-34(3)4/h11-12,15-22,25-32H,13-14,23-24H2,1-10H3/b12-11+,25-15+,26-16+,31-17+,32-18+,35-21+,36-22+,37-27+,38-28+,39-29+,40-30+","psi,psi-carotene",All trans Lycopene,Cyclohexane <bmse000545>,Adenine <bmse000060>,Xanthine <bmse000127>,"1,2-Dichloroethane <bmse000568>",Gallic acid <bmse000389>
Cholesterol,"(3~{S},8~{S},9~{S},10~{R},13~{R},14~{S},17~{R})-10,13-dimethyl-17-[(2~{R})-6-methylheptan-2-yl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1~{H}-cyclopenta[a]phenanthren-3-ol","InChI=1S/C27H46O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h9,18-19,21-25,28H,6-8,10-17H2,1-5H3/t19-,21+,22+,23-,24+,25+,26+,27-/m1/s1",Epicholesterol,Cholesterin,Choline <bmse000285>,MES <bmse000787>,Xanthine <bmse000127>,Epichlorohydrin <bmse000722>,Esculetin <bmse000986>
Alpha-Carotene,"1,3,3-trimethyl-2-[(1~{E},3~{E},5~{E},7~{E},9~{E},11~{E},13~{E},15~{E},17~{E})-3,7,12,16-tetramethyl-18-(2,6,6-trimethylcyclohex-2-en-1-yl)octadeca-1,3,5,7,9,11,13,15,17-nonaenyl]cyclohexene","InChI=1S/C40H56/c1-31(19-13-21-33(3)25-27-37-35(5)23-15-29-39(37,7)8)17-11-12-18-32(2)20-14-22-34(4)26-28-38-36(6)24-16-30-40(38,9)10/h11-14,17-23,25-28,37H,15-16,24,29-30H2,1-10H3/b12-11+,19-13+,20-14+,27-25+,28-26+,31-17+,32-18+,33-21+,34-22+","alpha-carotene, (6'R)-isomer",Hi-Alpha,L-Cysteine <bmse000034>,Trimethylamine <bmse000224>,Xanthine <bmse000127>,L-Cysteine <bmse000034>,N-alpha-Acetyl-L-lysine <bmse000830>
Cortisol,"(8~{S},9~{S},10~{R},11~{S},13~{S},14~{S},17~{R})-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1~{H}-cyclopenta[a]phenanthren-3-one","InChI=1S/C21H30O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h9,14-16,18,22,24,26H,3-8,10-11H2,1-2H3/t14-,15-,16-,18+,19-,20-,21-/m0/s1",hydrocortisone,11-Epicortisol,O-Cresol <bmse000433>,MES <bmse000787>,Xanthine <bmse000127>,Dihydrocoumarin <bmse000412>,D-pinitol <bmse000740>
5-Hydroxyindoleacetic acid,2-(5-hydroxy-1~{H}-indol-3-yl)acetic acid,"InChI=1S/C10H9NO3/c12-7-1-2-9-8(4-7)6(5-11-9)3-10(13)14/h1-2,4-5,11-12H,3H2,(H,13,14)","Indoleacetic acid, 5-hydroxy-","1H-Indoleacetic acid, hydroxy-",5-Hydroxyindole-3-acetic acid <bmse000364>,5-Hydroxyindole-3-acetic acid <bmse000364>,Epinephrine <bmse000316>,Indole-3-acetic acid <bmse000177>,Indole-3-acetic acid <bmse000177>
Zeaxanthin,"(1~{R})-4-[(1~{E},3~{E},5~{E},7~{E},9~{E},11~{E},13~{E},15~{E},17~{E})-18-[(4~{R})-4-hydroxy-2,6,6-trimethylcyclohexen-1-yl]-3,7,12,16-tetramethyloctadeca-1,3,5,7,9,11,13,15,17-nonaenyl]-3,5,5-trimethylcyclohex-3-en-1-ol","InChI=1S/C40H56O2/c1-29(17-13-19-31(3)21-23-37-33(5)25-35(41)27-39(37,7)8)15-11-12-16-30(2)18-14-20-32(4)22-24-38-34(6)26-36(42)28-40(38,9)10/h11-24,35-36,41-42H,25-28H2,1-10H3/b12-11+,17-13+,18-14+,23-21+,24-22+,29-15+,30-16+,31-19+,32-20+/t35-,36-/m1/s1","(3R,3'R)-Î²,Î²-carotene-3,3'-diol","3R,3'R Zeaxanthin",Xanthine <bmse000127>,(R)-Lactate <bmse000269>,Xanthine <bmse000127>,R-(+)-2-Pyrrolidinone-5-carboxylate <bmse000878>,3-Methoxybenzamide <bmse000775>
Linoleic acid,"(9~{Z},12~{Z})-octadeca-9,12-dienoic acid","InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6-,10-9-",Linoleate,"9-cis,12-cis-Octadecadienoate",Vanillic acid <bmse000614>,N-(2-Acetamido)iminodiacetic acid <bmse000146>,Xanthine <bmse000127>,Indole <bmse000097>,5-Methoxy-3-indoleacetic acid <bmse000694>
Homocysteine,"D,L-Homocysteine",(2S)-2-amino-4-sulfanylbutanoic acid,HOMO-CYS,"Butyric acid, 2-amino-4-mercapto-, DL-",DL-homocysteine <bmse000430>,DL-homocysteine <bmse000430>,2-Amino-4-ethylsulfanylbutanoic acid <bmse001158>,DL-homocysteine <bmse000430>,Butyric acid <bmse000402>
Daidzein,7-hydroxy-3-(4-hydroxyphenyl)chromen-4-one,"InChI=1S/C15H10O4/c16-10-3-1-9(2-4-10)13-8-19-14-7-11(17)5-6-12(14)15(13)18/h1-8,16-17H",7-hydroxy-3-(4-hydroxyphenyl)-4-benzopyrone,"4',7-Dihydroxyisoflavone",AZULENE <bmse001162>,"5,7-Dihydroxy-2-(4-hydroxyphenyl)chromen-4-one <bmse001124>",Epinephrine <bmse000316>,"5,7-Dihydroxy-2-(4-hydroxyphenyl)chromen-4-one <bmse001124>",Dihydroxyacetone <bmse000144>
Palmitic acid,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)",Hexadecanoate,Hexadecanoic acid (9CI),hexaectylic acid,Pimelic acid <bmse000354>,Epinephrine <bmse000316>,Phenyl Acetate <bmse000481>,Hexanoic acid <bmse000351>,Phenoxyacetic acid <bmse000742>
Urea,"InChI=1S/CH4N2O/c2-1(3)4/h(H4,2,3,4)",Basodexan,Carmol,carbamide,Uracil <bmse000187>,Epinephrine <bmse000316>,Adenine <bmse000060>,Carbazole <bmse000666>,Acrylamide <bmse000392>
Acetone,propan-2-one,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,2-Propanone,propanone,Acetophenone <bmse000286>,Propanol <bmse000446>,Epinephrine <bmse000316>,Propanol <bmse000446>,Propanol <bmse000446>
beta-Cryptoxanthin,"(1~{R})-3,5,5-trimethyl-4-[(1~{E},3~{E},5~{E},7~{E},9~{E},11~{E},13~{E},15~{E},17~{E})-3,7,12,16-tetramethyl-18-(2,6,6-trimethylcyclohexen-1-yl)octadeca-1,3,5,7,9,11,13,15,17-nonaenyl]cyclohex-3-en-1-ol","InChI=1S/C40H56O/c1-30(18-13-20-32(3)23-25-37-34(5)22-15-27-39(37,7)8)16-11-12-17-31(2)19-14-21-33(4)24-26-38-35(6)28-36(41)29-40(38,9)10/h11-14,16-21,23-26,36,41H,15,22,27-29H2,1-10H3/b12-11+,18-13+,19-14+,25-23+,26-24+,30-16+,31-17+,32-20+,33-21+/t36-/m1/s1",Beta Cryptoxanthin,Cryptoxanthin,L-Tryptophan <bmse000050>,(R)-Lactate <bmse000269>,Xanthine <bmse000127>,L-Tryptophan <bmse000050>,Hypoxanthine <bmse000094>
Glycolic acid,2-Hydroxyacetic acid,Kyselina glykolova [Czech],Kyselina hydroxyoctova [Czech],Glycolic acid,Gluconic acid <bmse000084>,2-Hydroxyphenylacetic acid <bmse000715>,Khellin <bmse000751>,"3,4-Dihydroxyphenylacetic acid <bmse000329>",Gluconic acid <bmse000084>
Vitamin A,Tretinoin,"Retinoic acid, 9-cis-","InChI=1S/C4H6O4/c1-2(3(5)6)4(7)8/h2H,1H3,(H,5,6)(H,7,8)",Alitretinoin,Thiamin <bmse000274>,Triethanolamine <bmse000379>,Syringic acid <bmse000607>,Epinephrine <bmse000316>,Saligenin <bmse000768>
Isovaleric acid,Isovaleriansaeure,"InChI=1S/C5H10O2/c1-4(2)3-5(6)7/h4H,3H2,1-2H3,(H,6,7)",3-methyl-butanoic acid,3-methylbutanoic acid,Isovaleric-acid <bmse000373>,Isovaleric-acid <bmse000373>,Epinephrine <bmse000316>,3-Methyl-2-butenoic acid <bmse000581>,3-Methyl-2-butenoic acid <bmse000581>
Formic acid,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",Acido formico [Italian],Add-F,Ameisensaeure [German],3-Furoic acid <bmse000842>,D-pinitol <bmse000740>,5-Acetylamido-2-chloroaniline <bmse000143>,Ala-Ala <bmse000403>,MES <bmse000787>
4-Hydroxybenzoic acid,"InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)","Benzoic acid, 4-hydroxy-",p-Hydroxybenzoic acid,4-Carboxyphenol,4-Hydroxy-benzoic acid <bmse000092>,"3-(4-Hydroxyphenyl)-1-(2,4,6-trihydroxyphenyl)propan-1-one <bmse001122>",Suberic acid <bmse000378>,3-Hydroxybenzoic acid <bmse000324>,4-Nitrophenol <bmse000223>
3-Hydroxyisovaleric acid,"3-hydroxy-3-methylbutanoic acidInChI=1S/C5H10O3/c1-5(2,8)3-4(6)7/h8H,3H2,1-2H3,(H,6,7)",Beta-Hydroxyisovaleric acid,beta-hydroxy-beta-methylbutyrate,3-Hydroxy-3-methylbutanoic acid,3-Hydroxymandelic acid <bmse000573>,3-Hydroxy-3-methylglutaric acid <bmse000335>,3-Hydroxyanthranilic acid <bmse000321>,DL-threo-beta-Methylaspartate <bmse000352>,3-Hydroxy-3-methylglutaric acid <bmse000335>
Ammonia,azane,InChI=1S/H3N/h1H3,AMMONIA (ANHYDROUS),Anhydrous ammonia,Agmatine <bmse000063>,Alanine <bmse000282>,Epinephrine <bmse000316>,4-Aminoantipyrine <bmse000147>,Dihydrocoumarin <bmse000412>
4-Hydroxyproline,H-DL-xiHyp-OH,4-hydroxy-DL-proline,4-hydroxypyrrolidine-2-carboxylic acid,"InChI=1S/C5H9NO3/c7-3-1-4(5(8)9)6-2-3/h3-4,6-7H,1-2H2,(H,8,9)",9-Hydroxyfluorene <bmse000564>,5-Hydroxy-L-tryptophan <bmse000457>,"3,4-Dehydro-d/L-proline <bmse000080>",5-Hydroxyindole-3-acetic acid <bmse000364>,Epinephrine <bmse000316>
Putrescine,"butane-1,4-diamine",InChI=1S/C4H12N2/c5-3-1-2-4-6/h1-6H2,"1,4-Diaminobutane",Putrescin,"Putrescine (1,4 diaminobutane) <bmse000109>",Beta-Alanine <bmse000159>,Epinephrine <bmse000316>,"1,3-Diaminopropane <bmse000872>","Putrescine (1,4 diaminobutane) <bmse000109>"
Indoleacetic acid,Heteroauxin,2-(1~{H}-indol-3-yl)acetic acid,"InChI=1S/C10H9NO2/c12-10(13)5-7-6-11-9-4-2-1-3-8(7)9/h1-4,6,11H,5H2,(H,12,13)",Rhizopon A,Indole-3-acetic acid <bmse000177>,Hypotaurine <bmse000452>,Dl-Indole-3-lactic acid <bmse000409>,Epinephrine <bmse000316>,Propionic acid <bmse000179>
Pyroglutamic acid,H-Pyr-OH,L-pyroglutamic acid,(2~{S})-5-oxopyrrolidine-2-carboxylic acid,"InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H,1-2H2,(H,6,7)(H,8,9)/t3-/m0/s1",L-Glutamic acid <bmse000037>,L-Tryptophan <bmse000050>,L-Glutamic acid <bmse000037>,R-(+)-2-Pyrrolidinone-5-carboxylate <bmse000878>,Epinephrine <bmse000316>
D-Glutamic acid,H-D-Glu-OH,(2~{R})-2-aminopentanedioic acid,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m1/s1",Glutamic acid D-form,L-Glutamic acid <bmse000037>,D-Glucosaminic acid <bmse000440>,DL-2-Aminoadipic acid <bmse000429>,Epinephrine <bmse000316>,Glutaric acid <bmse000406>
Oleic acid,(~{Z})-octadec-9-enoic acid,"InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/b10-9-",9-Octadecenoic acid (9Z)-,"9-Octadecenoic acid, (Z)-",P-Toluic acid <bmse000414>,4-Chlorophenoxyacetic acid <bmse000635>,Xanthine <bmse000127>,Chloroacetic Acid <bmse000367>,Chloroacetic Acid <bmse000367>
Vanylglycol,"1-(4-hydroxy-3-methoxyphenyl)ethane-1,2-diol","InChI=1S/C9H12O4/c1-13-9-4-6(8(12)5-10)2-3-7(9)11/h2-4,8,10-12H,5H2,1H3",4 Hydroxy 3 methoxyphenylethylene Glycol,4 Hydroxy 3 methoxyphenylethyleneglycol,Phenylglyoxylic acid <bmse000743>,"5,7-Dihydroxy-3-(4-methoxyphenyl)chromen-4-one <bmse001173>",Epinephrine <bmse000316>,4-Hydroxy-3-methoxycinnamaldehyde <bmse000422>,4-Hydroxy-3-methoxycinnamaldehyde <bmse000422>
Stearic acid,"InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20)",n-Octadecanoic acid,1-Heptadecanecarboxylic acid,Glycon dp,Glutaric acid <bmse000406>,Xanthine <bmse000127>,6-Aminohexanoic acid <bmse000394>,4-Hydroxyphenylacetic acid <bmse000455>,Gluconic acid <bmse000084>
Desaminotyrosine,3-(4-hydroxyphenyl)propanoic acid,3-(4-hydroxyphenyl)propionic acid,4-hydroxyhydrocinnamic acid,desaminotyrosine,Diethanolamine <bmse000371>,3-(2-Hydroxyphenyl)propionic acid <bmse000331>,3-(2-Hydroxyphenyl)propionic acid <bmse000331>,4-Hydroxycinnamic acid <bmse000150>,Diethanolamine <bmse000371>
Pantothenic acid,"3-[[(2~{R})-2,4-dihydroxy-3,3-dimethylbutanoyl]amino]propanoic acid","InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)/t7-/m0/s1",Vitamin B3,Vitamin B5,Hexanoic acid <bmse000351>,"2-(3,4-Dihydroxyphenyl)chroman-3,5,7-triol <bmse001147>",Epinephrine <bmse000316>,Thiamin <bmse000274>,Thiamin <bmse000274>
Acetoacetic acid,3-oxobutanoic acid,"InChI=1S/C4H6O3/c1-3(5)2-4(6)7/h2H2,1H3,(H,6,7)",oxobutyrate,3-ketobutyrate,Acetic acid <bmse000191>,L-Glutamic acid <bmse000037>,Epinephrine <bmse000316>,Orotate <bmse000283>,2-Ketobutyric acid <bmse000325>
L-Acetylcarnitine,(3~{R})-3-acetyloxy-4-(trimethylazaniumyl)butanoate,"InChI=1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3/t8-/m1/s1",(-)O-acetylcarnitine,O-acetylcarnitine,(+-)-Acetylcarnitine <bmse000142>,3-Carboxypropyl-trimethyl-ammonium <bmse000794>,Epinephrine <bmse000316>,(+-)-Acetylcarnitine <bmse000142>,(+-)-Acetylcarnitine <bmse000142>
Arachidonic acid,"(5~{Z},8~{Z},11~{Z},14~{Z})-icosa-5,8,11,14-tetraenoic acid","InChI=1S/C20H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13,15-16H,2-5,8,11,14,17-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-,16-15-","icosa-5,8,11,14-tetraenoic acid","(all-Z)-5,8,11,14-Eicosatetraenoic acid",Hydrocinnamic acid <bmse000675>,"5,10,15,20-Tetraphenyl-21H,23H-porphine zinc <bmse001106>",Xanthine <bmse000127>,"1,4-Dihydroxy-2-naphthanoic acid <bmse000688>",5-(Acetylamino)-2-nitrobenzoic acid <bmse000174>
Testosterone,"(8~{R},9~{S},10~{R},13~{S},14~{S},17~{S})-17-hydroxy-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one","InChI=1S/C19H28O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h11,14-17,21H,3-10H2,1-2H3/t14-,15-,16-,17-,18-,19-/m0/s1",17 beta Hydroxy 4 Androsten 3 one,17 beta Hydroxy 8 alpha 4 Androsten 3 one,Nitrosobenzene <bmse000925>,"2-(3,4-Dihydroxyphenyl)-3,5,7-trihydroxychromen-4-one <bmse001176>",Xanthine <bmse000127>,Acetaldehyde oxime mixture of syn and anti <bmse000467>,Acetaldehyde oxime mixture of syn and anti <bmse000467>
2-Hydroxyglutarate,2-hydroxypentanedioic acid,"InChI=1S/C5H8O5/c6-3(5(9)10)1-2-4(7)8/h3,6H,1-2H2,(H,7,8)(H,9,10)",2-hydroxyglutaric acid,alpha-hydroxyglutarate,3-Hydroxybutyrate <bmse000905>,2-Hydroxyphenylacetic acid <bmse000715>,Epinephrine <bmse000316>,3-Hydroxy-3-methylglutaric acid <bmse000335>,3-Hydroxybutyrate <bmse000905>
Propylene glycol,alpha-Propyleneglycol,"InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3","Propane-1,2-diol",PG 12,Propargyl alcohol <bmse000363>,L-4-hydroxyphenylglycine <bmse000629>,Epinephrine <bmse000316>,"1,2-Propanediol <bmse000302>",GDP <bmse000270>
Ascorbic acid,"(2~{R})-2-[(1~{S})-1,2-dihydroxyethyl]-3,4-dihydroxy-2~{H}-furan-5-one","InChI=1S/C6H8O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,5,7-10H,1H2/t2-,5+/m0/s1",Cereon,Cescorbat,Mesaconic acid <bmse000746>,"2-(3,4-Dihydroxyphenyl)-3,5,7-trihydroxychromen-4-one <bmse001176>",Epinephrine <bmse000316>,Precocene 1 <bmse000754>,L-Ascorbate <bmse000182>
Aldosterone,"(8~{S},9~{S},10~{R},11~{S},13~{R},14~{S},17~{S})-11-hydroxy-17-(2-hydroxyacetyl)-10-methyl-3-oxo-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthrene-13-carbaldehyde","InChI=1S/C21H28O5/c1-20-7-6-13(24)8-12(20)2-3-14-15-4-5-16(18(26)10-22)21(15,11-23)9-17(25)19(14)20/h8,11,14-17,19,22,25H,2-7,9-10H2,1H3/t14-,15-,16+,17-,19+,20-,21+/m0/s1","Aldosterone, (+-)-Isomer","Aldosterone, (11 beta,17 alpha)-Isomer",L-Serine <bmse000048>,MES <bmse000787>,Xanthine <bmse000127>,L-Serine <bmse000048>,L-Serine <bmse000048>
